brand,model,firmware,option,exe_can_1,exe_can_2,exe_can_3,exe_lin,read_can_1,read_can_2,read_can_3,read_lin,explanation
Aston Martin,DBX 707 I (2023 г.),null,Cabin ventilation,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,High Voltage Battery heating,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,CAN command 1,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,CAN command 2,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Distance to empty,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Washer fluid level,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Power windows position,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Battery charger connector status,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Fast charging,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Slow charging,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,"""Ready"" status",-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,SOH,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,SOC,-,-,-,-,-,-,-,-,
Aston Martin,DBX 707 I (2023 г.),null,HV battery temperature,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Model code,,,,,,,,,1413
Audi,A1 I (8X) (2010-2014 г.),All configurations,CAN Block,,,,,,,,,No
Audi,A1 I (8X) (2010-2014 г.),All configurations,Immobilizer bypass,,,,,,,,,Yes
Audi,A1 I (8X) (2010-2014 г.),All configurations,Alarms with immobilizer bypass support,,,,,,,,,"Light Pro v2, Light Pro/ Light +, Light v3, Pandora Elite v2, Smart Pro, Smart Pro v3"
Audi,A1 I (8X) (2010-2014 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Trunk,+,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,"Light signalization appears as sequential lighting of turn lights on right and left side of the vehicle. If the engine is running when the operation is performed, light signalization will be the same"
Audi,A1 I (8X) (2010-2014 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,"Automatic transmission selector status, parking brake status"
Audi,A1 I (8X) (2010-2014 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Fuel level,-,-,-,-,-,+,-,-,Fuel level is displayed in liters
Audi,A1 I (8X) (2010-2014 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Windows closing at arming,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,"Original security system will not be completely disarmed: trunk and fuel tank flap will only be disarmed after engine start. If the car has original security system, it will not be disarmed this way."
Audi,A1 I (8X) (2010-2014 г.),All configurations,Step-by-step disarming,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Audi,A1 I (8X) (2010-2014 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: twisted pair cable CanHigh - orange-green, CanLow - orange-brown
Attention! When option ""original security system control via CAN"" is switched on, original security system will not be completely disarmed: trunk and fuel tank flap will only be disarmed after engine start. If the car has original security system, it will not be disarmed this way.
СLight signalization appears as sequential lighting of turn lights on right and left side of the vehicle. If the engine is running when the operation is performed, light signalization will be the same
 "
Audi,A1 I (8X) (2010-2014 г.),All configurations,Explanation 2,,,,,,,,,"For systems with multiple software version (A, B, C and etc.) use software version marked 'B'"
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Model code,,,,,,,,,1413
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,CAN Block,,,,,,,,,No
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Trunk,+,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,"Light signalization appears as sequential lighting of turn lights on right and left side of the vehicle. If the engine is running when the operation is performed, light signalization will be the same"
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,"Automatic transmission selector status, parking brake status"
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Windows closing at arming,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,"Original security system will not be completely disarmed: trunk and fuel tank flap will only be disarmed after engine start. If the car has original security system, it will not be disarmed this way."
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Step-by-step disarming,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: twisted pair cable CanHigh - orange-green, CanLow - orange-brown.
Warning! When option ""original security system control via CAN"" is switched on, original security system will not be completely disarmed: trunk and fuel tank flap will only be disarmed after switching on the ignition. If the car has original security system, it will not be disarmed this way.
Light signalization appears as sequential lighting of marker lights on right and left side of the vehicle. If the ignition is switched on, light signalization will be performed by the turn lights in the same manner."
Audi,A1 I re. (8X) (2014-2018 г.),All configurations,Explanation 2,,,,,,,,,"For systems with multiple software version (A, B, C and etc.) use software version marked 'B'"
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Model code,,,,,,,,,1111
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,CAN Block,,,,,,,,,No
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Trunk,+,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Windows closing at arming,+,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Step-by-step disarming,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Code immobilizer,-,-,-,-,+,-,-,-,"Buttons on the steering wheel: ""vol roller press"",""up/down roller press"",""up/down roller press""; driver door: ""passanger window regulator up button""."
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Audi,A3 II +re.1/2 (8P) (2003-2013 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: twisted pair cable - orange-green - CANHigh, orange-brown -  CANLow"
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Model code,,,,,,,,,1128
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,CAN Block,,,,,,,,,No
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Immobilizer bypass,,,,,,,,,No
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Trunk,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Marker lights,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Factory alarm triggering,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Fuel level,-,-,-,-,+,-,-,-,Fuel level is displayed in liters
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Outside temperature,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Central lock,+,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Windows closing at arming,+,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Vehicle security system,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Step-by-step disarming,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Turn off ACC,+,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Heating,+,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Speed,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Automatic start via original remote,-,-,-,-,+,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Audi,A3 III +re. (8V) (2012-2020 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
